This is just to give an idea:

Address	Length	Type	String
.rdata:010967C8	00000033	C	Blaze::Authentication::AcceptCustomLegalDocRequest
.rdata:010955DC	0000002E	C	Blaze::Authentication::AcceptLegalDocsRequest
.rdata:01095578	00000028	C	Blaze::Authentication::AcceptTosRequest
.rdata:010950DC	00000023	C	Blaze::Authentication::AccountInfo
.rdata:01096394	0000002A	C	Blaze::Authentication::CheckAgeReqRequest
.rdata:010963F8	0000002B	C	Blaze::Authentication::CheckAgeReqResponse
.rdata:01096838	0000002C	C	Blaze::Authentication::CheckLegalDocRequest
.rdata:010968A0	0000002D	C	Blaze::Authentication::CheckLegalDocResponse
.rdata:01095F58	00000036	C	Blaze::Authentication::ConsoleAssociateAccountRequest
.rdata:01095E68	00000033	C	Blaze::Authentication::ConsoleCreateAccountRequest
.rdata:01095EE0	00000034	C	Blaze::Authentication::ConsoleCreateAccountResponse
.rdata:01095C08	0000002C	C	Blaze::Authentication::ConsoleLoginResponse
.rdata:010954B0	0000002A	C	Blaze::Authentication::ConsumecodeRequest
.rdata:01095514	0000002B	C	Blaze::Authentication::ConsumecodeResponse
.rdata:01095248	0000002F	C	Blaze::Authentication::CreateAccountParameters
.rdata:010952B4	0000002D	C	Blaze::Authentication::CreateAccountResponse
.rdata:01095C70	0000002C	C	Blaze::Authentication::CreatePersonaRequest
.rdata:01096568	00000029	C	Blaze::Authentication::DecrementUseCount
.rdata:010965D4	00000030	C	Blaze::Authentication::DecrementUseCountRequest
.rdata:01096088	0000002F	C	Blaze::Authentication::DeviceLoginGuestRequest
.rdata:01096454	00000023	C	Blaze::Authentication::Entitlement
.rdata:01096C34	00000024	C	Blaze::Authentication::Entitlements
.rdata:01095AD8	0000002B	C	Blaze::Authentication::ExpressLoginRequest
.rdata:01096A14	0000002E	C	Blaze::Authentication::FieldValidateErrorList
.rdata:01095320	0000002C	C	Blaze::Authentication::FieldValidationError
.rdata:01095BA0	00000029	C	Blaze::Authentication::FullLoginResponse
.rdata:0109599C	0000002C	C	Blaze::Authentication::GetAuthTokenResponse
.rdata:01095A04	0000002E	C	Blaze::Authentication::GetHandoffTokenRequest
.rdata:01095A70	0000002F	C	Blaze::Authentication::GetHandoffTokenResponse
.rdata:010957F0	00000031	C	Blaze::Authentication::GetLegalDocContentRequest
